"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5380","verify add item to cart -- @1.3 ","","2025-12-19","passed","2025-12-19","","","",""
"","4393","verify remove item from cart","","2025-12-19","passed","2025-12-19","","","",""
"","4456","Verify valid user login -- @1.1 ","","2025-12-19","passed","2025-12-19","","","",""
"","4623","verify user login","","2025-12-19","passed","2025-12-19","","","",""
"","2434","verify incorrect login","","2025-12-19","passed","2025-12-19","","","",""
"","9801","Verify valid user login -- @1.3 ","","2025-12-19","passed","2025-12-19","","","",""
"","4260","Verify valid user login -- @1.2 ","","2025-12-19","passed","2025-12-19","","","",""
"","5825","verify add item to cart -- @1.1 ","","2025-12-19","passed","2025-12-19","","","",""
"","4705","verify checkout process","","2025-12-19","passed","2025-12-19","","","",""
"","9583","verify order place process","","2025-12-19","passed","2025-12-19","","","",""
"","6179","verify add item to cart -- @1.2 ","","2025-12-19","passed","2025-12-19","","","",""
"","2252","verify locked out user login","","2025-12-19","passed","2025-12-19","","","",""
